datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth
2026-08-13 11:18:37,v1.5,MAIN,KOSDAQ,080220,제주반도체,91300.0,5.06,1186113,106196000000.0,108263757000.0,106196000000.0,ACTUAL,10,92200.0,0.9761388286334056,1.155384381051853,1.1493153698049547,87,40,22,16,9
2026-08-13 11:47:08,v1.5,MAIN,KOSDAQ,080220,제주반도체,91800.0,5.06,1286337,113223000000.0,115348445200.0,113223000000.0,ACTUAL,9,92200.0,0.43383947939262474,1.0661701005687596,1.0844978513851546,85,40,25,11,9
2026-08-13 11:47:08,v1.5,MAIN,KOSPI,035420,NAVER,226500.0,5.1,943339,468258000000.0,477613755000.0,468258000000.0,ACTUAL,11,228000.0,0.6578947368421052,1.0438510255535716,1.0563517338995045,76,40,22,5,9
2026-08-13 11:55:24,v1.5,MAIN,KOSDAQ,119850,지엔씨에너지,55800.0,14.94,1157081,130172000000.0,134593469000.0,130172000000.0,ACTUAL,6,57300.0,2.6178010471204187,2.4709946848899014,2.908232461343575,89,40,14,20,15
2026-08-13 12:29:32,v1.5,MAIN,KOSDAQ,153890,져스텍,14610.0,14.35,4293888,59143000000.0,61908489500.0,59143000000.0,ACTUAL,22,14800.0,1.2837837837837838,1.2283328833412948,1.224970188001027,80,33,19,16,12
2026-08-13 12:37:01,v1.5,MAIN,KOSPI,082740,한화엔진,48400.0,6.97,762893,58586000000.0,58964468900.0,58586000000.0,ACTUAL,88,49850.0,2.908726178535607,1.1772294337499498,1.1808191359773152,75,33,14,16,12
2026-08-13 12:47:32,v1.5,MAIN,KOSPI,005930,삼성전자,268500.0,5.09,14690567,6750252000000.0,6783977116500.0,6750252000000.0,ACTUAL,1,270000.0,0.5555555555555556,1.0738525240319223,1.078868326228671,82,40,22,11,9
2026-08-13 13:10:09,v1.5,MAIN,KOSDAQ,126730,코칩,22600.0,14.27,2739348,59477000000.0,61440480000.0,59477000000.0,ACTUAL,25,23250.0,2.795698924731183,1.444037098183937,1.4372574378723526,82,33,14,20,15
2026-08-13 13:27:56,v1.5,MAIN,KOSPI,093370,후성,12320.0,12.33,4315307,,53010921300.0,53010921300.0,ESTIMATED,,12320.0,0.0,1.0683115976339388,1.0508556010393355,78,33,25,11,9
2026-08-13 13:33:54,v1.5,MAIN,KOSPI,078930,GS,109800.0,8.51,611337,81310000000.0,82009515200.0,81310000000.0,ACTUAL,73,113000.0,2.831858407079646,1.4553688091786143,1.4969294357899479,86,37,14,20,15
2026-08-13 13:36:55,v1.5,MAIN,KOSPI,035420,NAVER,226500.0,5.1,1220121,569242000000.0,579250647000.0,569242000000.0,ACTUAL,12,228000.0,0.6578947368421052,1.2072898639248024,1.2804775917654565,90,40,22,16,12
2026-08-13 13:46:37,v1.5,MAIN,KOSPI,090460,비에이치,19690.0,6.88,1813757,72295000000.0,75864610080.0,72295000000.0,ACTUAL,83,19770.0,0.4046535154274153,1.0536940140793751,1.0633717269383338,82,37,25,11,9
2026-08-13 13:48:48,v1.5,MAIN,KOSPI,090460,비에이치,19730.0,6.98,1897236,75914000000.0,79614699840.0,75914000000.0,ACTUAL,80,19800.0,0.35353535353535354,1.0500587869147244,1.0460254598603893,77,37,25,11,4
