collected_at_kst,api_id,instrument_type,code,base_date,page,row_count,cont_yn,next_key_present,status,message,first_raw_time,last_raw_time
2026-09-13T21:11:29.080183+09:00,ka20005,INDEX,101,2026-09-13,20,900,Y,True,COMPLETE,,20260709093300.0,20260706134000.0
2026-09-13T21:11:29.470282+09:00,ka20005,INDEX,101,2026-09-13,21,900,Y,True,COMPLETE,,20260706133900.0,20260702112400.0
2026-09-13T21:11:29.835823+09:00,ka20005,INDEX,101,2026-09-13,22,900,Y,True,COMPLETE,,20260702112300.0,20260630090800.0
2026-09-13T21:11:30.207490+09:00,ka20005,INDEX,101,2026-09-13,23,900,Y,True,COMPLETE,,20260630090700.0,20260625131400.0
2026-09-13T21:11:30.569665+09:00,ka20005,INDEX,101,2026-09-13,24,900,Y,True,COMPLETE,,20260625131300.0,20260623105800.0
2026-09-13T21:11:30.906476+09:00,ka20005,INDEX,101,2026-09-13,25,900,Y,True,COMPLETE,,20260623105700.0,20260618150400.0
2026-09-13T21:11:31.236671+09:00,ka20005,INDEX,101,2026-09-13,26,900,Y,True,COMPLETE,,20260618150300.0,20260616124800.0
2026-09-13T21:11:31.601082+09:00,ka20005,INDEX,101,2026-09-13,27,900,Y,True,COMPLETE,,20260616124700.0,20260612103200.0
2026-09-13T21:11:31.958931+09:00,ka20005,INDEX,101,2026-09-13,28,900,Y,True,COMPLETE,,20260612103100.0,20260609143800.0
2026-09-13T21:11:32.324900+09:00,ka20005,INDEX,101,2026-09-13,29,900,Y,True,COMPLETE,,20260609143700.0,20260605115300.0
2026-09-13T21:11:32.666433+09:00,ka20005,INDEX,101,2026-09-13,30,900,Y,True,COMPLETE,,20260605115200.0,20260602093700.0
2026-09-13T21:11:33.027339+09:00,ka20005,INDEX,101,2026-09-13,31,900,Y,True,COMPLETE,,20260602093600.0,20260528134300.0
2026-09-13T21:11:33.384063+09:00,ka20005,INDEX,101,2026-09-13,32,900,Y,True,COMPLETE,,20260528134200.0,20260526112700.0
2026-09-13T21:11:33.732802+09:00,ka20005,INDEX,101,2026-09-13,33,900,Y,True,COMPLETE,,20260526112600.0,20260521091100.0
2026-09-13T21:11:34.085970+09:00,ka20005,INDEX,101,2026-09-13,34,900,Y,True,COMPLETE,,20260521091000.0,20260518131700.0
2026-09-13T21:11:34.503896+09:00,ka20005,INDEX,101,2026-09-13,35,900,Y,True,COMPLETE,,20260518131600.0,20260514110100.0
2026-09-13T21:11:34.879114+09:00,ka20005,INDEX,101,2026-09-13,36,900,Y,True,COMPLETE,,20260514110000.0,20260511150700.0
2026-09-13T21:11:35.264088+09:00,ka20005,INDEX,101,2026-09-13,37,900,Y,True,COMPLETE,,20260511150600.0,20260507125100.0
2026-09-13T21:11:35.633904+09:00,ka20005,INDEX,101,2026-09-13,38,900,Y,True,COMPLETE,,20260507125000.0,20260504103500.0
2026-09-13T21:11:36.009008+09:00,ka20005,INDEX,101,2026-09-13,39,900,Y,True,COMPLETE,,20260504103400.0,20260428144100.0
2026-09-13T21:11:36.394292+09:00,ka20005,INDEX,101,2026-09-13,40,900,Y,True,COMPLETE,,20260428144000.0,20260424122500.0
2026-09-13T21:11:36.788216+09:00,ka20005,INDEX,101,2026-09-13,41,900,Y,True,COMPLETE,,20260424122400.0,20260422100900.0
2026-09-13T21:11:37.183065+09:00,ka20005,INDEX,101,2026-09-13,42,900,Y,True,COMPLETE,,20260422100800.0,20260417141500.0
2026-09-13T21:11:37.577101+09:00,ka20005,INDEX,101,2026-09-13,43,900,Y,True,COMPLETE,,20260417141400.0,20260415115900.0
2026-09-13T21:11:38.011223+09:00,ka20005,INDEX,101,2026-09-13,44,900,Y,True,COMPLETE,,20260415115800.0,20260413094300.0
2026-09-13T21:11:38.417307+09:00,ka20005,INDEX,101,2026-09-13,45,900,Y,True,COMPLETE,,20260413094200.0,20260408134900.0
2026-09-13T21:11:38.846540+09:00,ka20005,INDEX,101,2026-09-13,46,900,Y,True,COMPLETE,,20260408134800.0,20260406113300.0
2026-09-13T21:11:39.267133+09:00,ka20005,INDEX,101,2026-09-13,47,900,Y,True,COMPLETE,,20260406113200.0,20260402091700.0
2026-09-13T21:11:39.693585+09:00,ka20005,INDEX,101,2026-09-13,48,900,Y,True,COMPLETE,,20260402091600.0,20260330132300.0
2026-09-13T21:11:40.181199+09:00,ka20005,INDEX,101,2026-09-13,49,900,Y,True,COMPLETE,,20260330132200.0,20260326110700.0
2026-09-13T21:11:40.631016+09:00,ka20005,INDEX,101,2026-09-13,50,900,Y,True,COMPLETE,,20260326110600.0,20260323151300.0
2026-09-13T21:11:41.079067+09:00,ka20005,INDEX,101,2026-09-13,51,900,Y,True,COMPLETE,,20260323151200.0,20260319125700.0
2026-09-13T21:11:41.557093+09:00,ka20005,INDEX,101,2026-09-13,52,900,Y,True,COMPLETE,,20260319125600.0,20260317104100.0
2026-09-13T21:11:42.007469+09:00,ka20005,INDEX,101,2026-09-13,53,900,Y,True,COMPLETE,,20260317104000.0,20260312144700.0
2026-09-13T21:11:42.464895+09:00,ka20005,INDEX,101,2026-09-13,54,900,Y,True,COMPLETE,,20260312144600.0,20260310123100.0
2026-09-13T21:11:42.940771+09:00,ka20005,INDEX,101,2026-09-13,55,900,Y,True,COMPLETE,,20260310123000.0,20260306101500.0
2026-09-13T21:11:43.514391+09:00,ka20005,INDEX,101,2026-09-13,56,900,Y,True,COMPLETE,,20260306101400.0,20260303135200.0
2026-09-13T21:11:43.999803+09:00,ka20005,INDEX,101,2026-09-13,57,900,Y,True,COMPLETE,,20260303135100.0,20260226113600.0
