market,instrument_type,code,name,datetime_kst,trade_date,open,high,low,close,volume,cumulative_volume,source_api,adjusted_flag,collection_status
KOSPI,INDEX,001,KOSPI,2025-09-09T14:58:00+09:00,2025-09-09,325697.0,325747.0,325633.0,325633.0,1057,384202,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:59:00+09:00,2025-09-09,325699.0,325744.0,325699.0,325713.0,1055,385257,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:00:00+09:00,2025-09-09,325670.0,325678.0,325640.0,325651.0,4252,389509,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:01:00+09:00,2025-09-09,325539.0,325543.0,325446.0,325543.0,884,390393,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:02:00+09:00,2025-09-09,325430.0,325653.0,325430.0,325653.0,939,391332,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:03:00+09:00,2025-09-09,325620.0,325687.0,325574.0,325656.0,628,391960,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:04:00+09:00,2025-09-09,325659.0,325690.0,325600.0,325634.0,723,392683,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:05:00+09:00,2025-09-09,325679.0,325801.0,325602.0,325787.0,1218,393901,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:06:00+09:00,2025-09-09,325811.0,325816.0,325709.0,325776.0,865,394766,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:07:00+09:00,2025-09-09,325662.0,325761.0,325659.0,325659.0,814,395580,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:08:00+09:00,2025-09-09,325748.0,325753.0,325633.0,325633.0,925,396505,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:09:00+09:00,2025-09-09,325611.0,325723.0,325567.0,325600.0,877,397382,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:10:00+09:00,2025-09-09,325574.0,325681.0,325574.0,325619.0,839,398221,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:11:00+09:00,2025-09-09,325577.0,325631.0,325566.0,325580.0,705,398926,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:12:00+09:00,2025-09-09,325650.0,325650.0,325563.0,325589.0,733,399659,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:13:00+09:00,2025-09-09,325698.0,325700.0,325607.0,325700.0,753,400412,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:14:00+09:00,2025-09-09,325722.0,325769.0,325659.0,325764.0,737,401149,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:15:00+09:00,2025-09-09,325765.0,325780.0,325711.0,325757.0,881,402030,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:16:00+09:00,2025-09-09,325623.0,325787.0,325623.0,325787.0,813,402843,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:17:00+09:00,2025-09-09,325669.0,325795.0,325669.0,325780.0,902,403745,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:18:00+09:00,2025-09-09,325699.0,325802.0,325673.0,325802.0,982,404727,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:19:00+09:00,2025-09-09,325840.0,325890.0,325762.0,325762.0,1140,405867,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:20:00+09:00,2025-09-09,325787.0,325787.0,325787.0,325787.0,253,406120,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T15:30:00+09:00,2025-09-09,325787.0,326005.0,325787.0,326005.0,33826,439946,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:00:00+09:00,2025-09-10,327220.0,327237.0,327207.0,327237.0,13197,13197,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:01:00+09:00,2025-09-10,327405.0,327405.0,327289.0,327299.0,3111,16308,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:02:00+09:00,2025-09-10,327398.0,327662.0,327398.0,327662.0,2401,18709,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:03:00+09:00,2025-09-10,327761.0,327927.0,327745.0,327808.0,2827,21536,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-10T09:04:00+09:00,2025-09-10,328006.0,328074.0,327805.0,327940.0,2287,23823,ka20005,N/A,PARTIAL
