rule_family,index_family,entry_time_variant,direction,tp_pct,sl_pct,cost_status,samples,grid_rows,win_rate_pct,avg_gross_return_pct,avg_net_return_pct,gross_profit_factor
KOREAN_V20,KOSPI200,14:30,LONG,1.0,-0.75,UNCONFIRMED,97,97,49.48453608247423,0.014829265699676974,0.0010820541212101526,1.099064240076557
KOREAN_V20,KOSPI200,14:30,LONG,1.0,-0.5,UNCONFIRMED,97,97,47.42268041237113,0.02286345476866385,0.009116705496712606,1.1671438987848999
KOREAN_V20,KOSPI200,14:30,LONG,1.0,-0.3,UNCONFIRMED,97,97,41.23711340206185,0.0077519535464155385,-0.005995819906615625,1.059560002586731
KOREAN_V20,KOSPI200,14:30,LONG,1.0,-0.2,UNCONFIRMED,97,97,36.08247422680412,0.01199508945586967,-0.0017525059201839192,1.1090025799712806
KOREAN_V20,KOSPI200,14:50,INVERSE,0.3,-0.75,UNCONFIRMED,70,70,61.42857142857143,0.030580156242828727,-0.6250253916776234,1.2224326236341858
KOREAN_V20,KOSPI200,14:50,INVERSE,0.3,-0.5,UNCONFIRMED,70,70,57.14285714285714,0.011889765144343287,-0.6438294369236192,1.0829631653122749
KOREAN_V20,KOSPI200,14:50,INVERSE,0.3,-0.3,UNCONFIRMED,70,70,51.42857142857142,0.022771705283950925,-0.6329256975784529,1.1929160931240619
KOREAN_V20,KOSPI200,14:50,INVERSE,0.3,-0.2,UNCONFIRMED,70,70,44.285714285714285,0.020870667787193615,-0.6348544641512784,1.2084585352454025
KOREAN_V20,KOSPI200,14:50,INVERSE,0.5,-0.75,UNCONFIRMED,70,70,55.714285714285715,0.01972639622852387,-0.6359133297216578,1.122324374328524
KOREAN_V20,KOSPI200,14:50,INVERSE,0.5,-0.5,UNCONFIRMED,70,70,51.42857142857142,-0.009493108983043643,-0.6652927264924693,0.9447706475319542
KOREAN_V20,KOSPI200,14:50,INVERSE,0.5,-0.3,UNCONFIRMED,70,70,44.285714285714285,-0.006936886577723067,-0.6627446378587272,0.9502618048136484
KOREAN_V20,KOSPI200,14:50,INVERSE,0.5,-0.2,UNCONFIRMED,70,70,40.0,0.012776982757817088,-0.6429518853415827,1.1175538507418286
KOREAN_V20,KOSPI200,14:50,INVERSE,0.75,-0.75,UNCONFIRMED,70,70,52.85714285714286,0.03399245683063664,-0.6215964951099782,1.1946065705330935
KOREAN_V20,KOSPI200,14:50,INVERSE,0.75,-0.5,UNCONFIRMED,70,70,50.0,0.019058665904782952,-0.6366087980111572,1.109168273006162
KOREAN_V20,KOSPI200,14:50,INVERSE,0.75,-0.3,UNCONFIRMED,70,70,42.857142857142854,0.009310306099860373,-0.6464197742514274,1.0647656735915838
KOREAN_V20,KOSPI200,14:50,INVERSE,0.75,-0.2,UNCONFIRMED,70,70,38.57142857142858,0.026881318292542828,-0.6287814385644631,1.2409851604148043
KOREAN_V20,KOSPI200,14:50,INVERSE,1.0,-0.75,UNCONFIRMED,70,70,52.85714285714286,0.03286074852180513,-0.6227501434747857,1.1881275486158833
KOREAN_V20,KOSPI200,14:50,INVERSE,1.0,-0.5,UNCONFIRMED,70,70,50.0,0.027351918916219693,-0.6282953083184654,1.156672128385383
KOREAN_V20,KOSPI200,14:50,INVERSE,1.0,-0.3,UNCONFIRMED,70,70,42.857142857142854,0.009723513305399825,-0.6460235957545758,1.067640084240666
KOREAN_V20,KOSPI200,14:50,INVERSE,1.0,-0.2,UNCONFIRMED,70,70,38.57142857142858,0.03454140483234019,-0.6211093535649044,1.309656166929259
KOREAN_V20,KOSPI200,14:50,LONG,0.3,-0.75,UNCONFIRMED,93,93,52.68817204301075,0.005863049012265072,-0.007984426293268987,1.0580034204467164
KOREAN_V20,KOSPI200,14:50,LONG,0.3,-0.5,UNCONFIRMED,93,93,50.53763440860215,-0.0014164050723949437,-0.015264136829730867,0.9861012666500808
KOREAN_V20,KOSPI200,14:50,LONG,0.3,-0.3,UNCONFIRMED,93,93,48.38709677419355,-0.001990077945687162,-0.01583777813457962,0.9792767115694837
KOREAN_V20,KOSPI200,14:50,LONG,0.3,-0.2,UNCONFIRMED,93,93,45.16129032258064,7.151033929930892e-05,-0.013776020503970601,1.0008329567538774
KOREAN_V20,KOSPI200,14:50,LONG,0.5,-0.75,UNCONFIRMED,93,93,50.53763440860215,0.01681589312856144,0.0029688964987538763,1.1573861769236746
KOREAN_V20,KOSPI200,14:50,LONG,0.5,-0.5,UNCONFIRMED,93,93,49.46236559139785,0.014230802522702316,0.00038376708480786166,1.1367642360494123
KOREAN_V20,KOSPI200,14:50,LONG,0.5,-0.3,UNCONFIRMED,93,93,47.31182795698925,0.010604107287161551,-0.0032430164347677184,1.108011640299382
KOREAN_V20,KOSPI200,14:50,LONG,0.5,-0.2,UNCONFIRMED,93,93,44.086021505376344,0.008364620303330815,-0.005482497565133622,1.0950570315388581
KOREAN_V20,KOSPI200,14:50,LONG,0.75,-0.75,UNCONFIRMED,93,93,50.53763440860215,0.033495295619884714,0.019649126964841595,1.3134948873805634
KOREAN_V20,KOSPI200,14:50,LONG,0.75,-0.5,UNCONFIRMED,93,93,49.46236559139785,0.03154946239839569,0.017703284303057336,1.3032041317278356
KOREAN_V20,KOSPI200,14:50,LONG,0.75,-0.3,UNCONFIRMED,93,93,47.31182795698925,0.02523459511984399,0.011388231819215689,1.257035310693722
KOREAN_V20,KOSPI200,14:50,LONG,0.75,-0.2,UNCONFIRMED,93,93,44.086021505376344,0.02273513900392678,0.008888749953782046,1.2583661597258662
KOREAN_V20,KOSPI200,14:50,LONG,1.0,-0.75,UNCONFIRMED,93,93,49.46236559139785,0.0189687290623364,0.005121898935915799,1.1698146742613083
KOREAN_V20,KOSPI200,14:50,LONG,1.0,-0.5,UNCONFIRMED,93,93,48.38709677419355,0.016504292941905363,0.0026574310183726324,1.1508207150433944
KOREAN_V20,KOSPI200,14:50,LONG,1.0,-0.3,UNCONFIRMED,93,93,46.236559139784944,0.013236596379010793,-0.0006103259075640204,1.130536618891969
